,DeltaTD_ms,DeltaTD_ms,DeltaTD_ms,PAD_ms,PAD_ms,PAD_ms,AUSPR,AUSPR,AUSPR,HSI,HSI,HSI,AmpRatio_norm,AmpRatio_norm,AmpRatio_norm
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Section,,,,,,,,,,,,,,,
Baseline,7.816,10.278,87,0.0,12.94,87,1.119,0.203,87,0.585,0.48,87,1.047,0.159,82
Pressure,7.253,9.668,91,-5.934,10.539,91,0.885,0.197,91,0.856,0.49,91,0.824,0.107,91
Recovery,8.636,10.415,88,2.727,13.281,88,0.904,0.19,88,0.758,0.419,88,0.764,0.086,88
