,DeltaTD_ms,DeltaTD_ms,DeltaTD_ms,PAD_ms,PAD_ms,PAD_ms,AUSPR,AUSPR,AUSPR,HSI,HSI,HSI,AmpRatio_norm,AmpRatio_norm,AmpRatio_norm
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Section,,,,,,,,,,,,,,,
Baseline,14.458,14.42,83,13.494,15.336,83,1.241,0.346,83,1.008,0.759,83,1.03,0.133,78
Other,0.0,,1,0.0,,1,1.02,,1,0.076,,1,1.335,,1
Pressure,20.909,13.866,88,20.455,14.536,88,1.417,0.272,88,1.277,0.692,88,1.037,0.132,88
Recovery,12.414,11.51,87,7.356,15.285,87,1.403,0.333,87,1.279,0.792,87,1.175,0.159,87
