timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm,status,
2025-08-12 14:22,453.15,0,778.05,0,0,SKIP
2025-08-12 14:22,855.28,0,1515.15,0,0,SKIP
2025-08-12 14:22,1208.39,0,2211.3,0,0,SKIP
2025-08-12 14:22,1513.31,0,2866.5,0,0,SKIP
2025-08-12 14:22,1777.17,0,3480.75,0,0,SKIP
2025-08-12 14:22,1549.66,0,3276,0,0,SKIP
2025-08-12 14:22,1340.55,0,3071.25,0,0,SKIP
2025-08-12 14:22,1151.87,0,2866.5,0,0,SKIP
2025-08-12 14:22,988.17,0,2661.75,0,0,SKIP
2025-08-12 14:22,841.75,0,2457,0,0,SKIP
2025-08-12 14:22,712.48,0,2252.25,0,0,SKIP
2025-08-12 14:22,596.02,0,2047.5,0,0,SKIP
2025-08-12 14:22,491.83,0,1842.75,0,0,SKIP
2025-08-12 14:22,391.39,0,1638,0,0,SKIP
2025-08-12 14:22,298,0,1433.25,0,0,SKIP
2025-08-12 14:22,208.32,0,1228.5,0,0,SKIP
2025-08-12 14:22,123.35,0,1020.9,0,0,SKIP
2025-08-12 14:22,40.61,0,797.11,0,0,SKIP
2025-08-12 14:22,-42.26,0,549.25,0,0,SKIP
2025-08-12 14:22,-126.93,0,275.41,0,0,SKIP
2025-08-12 14:22,-188.85,0,21.64,0,0,SKIP
2025-08-12 14:22,-233.15,0,-206.39,0,0,SKIP
2025-08-12 14:22,-269.1,0,-387.28,0,0,SKIP
2025-08-12 14:22,-287.9,0,-509.63,0,0,SKIP
2025-08-12 14:22,-294.06,0,-568.72,0,0,SKIP
2025-08-12 14:22,-311.67,0,-606.38,0,0,SKIP
2025-08-12 14:22,-337.04,0,-623.11,0,0,SKIP
2025-08-12 14:22,-359.83,0,-625.7,0,0,SKIP
2025-08-12 14:22,-379.41,0,-616.45,0,0,SKIP
2025-08-12 14:22,-393.21,0,-596.62,0,0,SKIP
2025-08-12 14:22,-399.12,0,-569.52,0,0,SKIP
2025-08-12 14:22,-390.56,0,-536.22,0,0,SKIP
