window_start_s,window_end_s,phase,phase_detail,hr_mean,hr_std,amp_mean,amp_std,L_hr_mean,L_hr_std,L_amp_mean,L_amp_std,L_amp_norm_vs_baseline,R_hr_mean,R_hr_std,R_amp_mean,R_amp_std,R_amp_norm_vs_baseline,asymmetry_index_amp,interarm_hr_diff,amp_ratio_R_over_L,corr_amp_LvsR,rhi_ppg,notes
0.002,30.002,BASELINE,UNKNOWN,82.34935742,12.55355031,342.4812355,231.7714834,74.21705521,9.064761629,368.5541411,232.2534904,1.32819147,90.48165962,16.04233898,316.4083298,231.2894763,0.968007892,0.0761294429,16.2646044,0.85851248,0.773992553,,
30.002,60.002,RECOVERY,POST_0_30,73.44720748,5.454502822,195.5712992,125.0935986,69.46485356,8.76699401,194.0288703,130.6066617,0.699239167,77.4295614,2.142011635,197.1137281,119.5805355,0.603042418,0.00788678551,7.964707847,1.015898963,0.885887693,0.862426544,
