timestamp,accX,accY,accZ,ppg
2024-11-18 14:40:10.060,2027.0,273.0,2037.0,10657.0
2024-11-18 14:40:10.080,1871.923076923077,133.0,1887.6153846153845,10659.076923076924
2024-11-18 14:40:10.100,1716.8461538461538,-7.0,1738.2307692307693,10661.153846153846
2024-11-18 14:40:10.120,1561.7692307692307,-147.0,1588.8461538461538,10663.23076923077
2024-11-18 14:40:10.140,1406.6923076923076,-287.0,1439.4615384615386,10665.307692307691
2024-11-18 14:40:10.160,1251.6153846153848,-427.0,1290.076923076923,10667.384615384615
2024-11-18 14:40:10.180,1096.5384615384617,-567.0,1140.6923076923076,10669.461538461539
2024-11-18 14:40:10.200,941.4615384615386,-707.0,991.3076923076923,10671.538461538461
2024-11-18 14:40:10.220,786.3846153846155,-847.0,841.9230769230769,10673.615384615385
2024-11-18 14:40:10.240,631.3076923076924,-987.0,692.5384615384615,10675.692307692309
2024-11-18 14:40:10.260,476.23076923076934,-1127.0,543.1538461538462,10677.76923076923
2024-11-18 14:40:10.280,321.1538461538463,-1267.0,393.7692307692307,10679.846153846154
2024-11-18 14:40:10.300,166.0769230769232,-1407.0,244.38461538461536,10681.923076923076
2024-11-18 14:40:10.320,11.0,-1547.0,95.0,10684.0
2024-11-18 14:40:10.340,174.83333333333334,-1546.6666666666667,97.0,10683.25
2024-11-18 14:40:10.360,338.6666666666667,-1546.3333333333333,99.0,10682.5
2024-11-18 14:40:10.380,502.5,-1546.0,101.0,10681.75
2024-11-18 14:40:10.400,666.3333333333334,-1545.6666666666667,103.0,10681.0
2024-11-18 14:40:10.420,830.1666666666667,-1545.3333333333333,105.0,10680.25
2024-11-18 14:40:10.440,994.0,-1545.0,107.0,10679.5
2024-11-18 14:40:10.460,1157.8333333333335,-1544.6666666666667,109.0,10678.75
2024-11-18 14:40:10.480,1321.6666666666667,-1544.3333333333333,111.0,10678.0
2024-11-18 14:40:10.500,1485.5,-1544.0,113.0,10677.25
2024-11-18 14:40:10.520,1649.3333333333335,-1543.6666666666667,115.0,10676.5
2024-11-18 14:40:10.540,1813.1666666666667,-1543.3333333333333,117.0,10675.75
2024-11-18 14:40:10.560,1977.0,-1543.0,119.0,10675.0
2024-11-18 14:40:10.580,1834.4166666666667,-1387.0,-47.41666666666666,10674.833333333334
2024-11-18 14:40:10.600,1691.8333333333333,-1231.0,-213.83333333333331,10674.666666666666
2024-11-18 14:40:10.620,1549.25,-1075.0,-380.25,10674.5
2024-11-18 14:40:10.640,1406.6666666666665,-919.0,-546.6666666666666,10674.333333333334
2024-11-18 14:40:10.660,1264.0833333333333,-763.0,-713.0833333333333,10674.166666666666
2024-11-18 14:40:10.680,1121.5,-607.0,-879.5,10674.0
2024-11-18 14:40:10.700,978.9166666666666,-451.0,-1045.9166666666665,10673.833333333334
2024-11-18 14:40:10.720,836.3333333333333,-295.0,-1212.3333333333333,10673.666666666666
2024-11-18 14:40:10.740,693.7499999999999,-139.0,-1378.75,10673.5
2024-11-18 14:40:10.760,551.1666666666665,17.0,-1545.1666666666665,10673.333333333334
2024-11-18 14:40:10.780,408.58333333333326,173.0,-1711.5833333333333,10673.166666666666
2024-11-18 14:40:10.800,266.0,329.0,-1878.0,10673.0
2024-11-18 14:40:10.820,115.41666666666666,146.83333333333334,-1721.25,10673.333333333334
2024-11-18 14:40:10.840,-35.166666666666686,-35.333333333333314,-1564.5,10673.666666666666
2024-11-18 14:40:10.860,-185.75000000000003,-217.49999999999997,-1407.75,10674.0
2024-11-18 14:40:10.880,-336.33333333333337,-399.66666666666663,-1251.0,10674.333333333334
2024-11-18 14:40:10.900,-486.91666666666674,-581.8333333333333,-1094.25,10674.666666666666
2024-11-18 14:40:10.920,-637.5,-764.0,-937.5,10675.0
2024-11-18 14:40:10.940,-788.0833333333334,-946.1666666666666,-780.75,10675.333333333334
2024-11-18 14:40:10.960,-938.6666666666667,-1128.3333333333333,-624.0,10675.666666666666
2024-11-18 14:40:10.980,-1089.25,-1310.5,-467.25,10676.0
2024-11-18 14:40:11.000,-1239.8333333333335,-1492.6666666666665,-310.5,10676.333333333334
2024-11-18 14:40:11.020,-1390.4166666666667,-1674.8333333333333,-153.75,10676.666666666666
2024-11-18 14:40:11.040,-1541.0,-1857.0,3.0,10677.0
2024-11-18 14:40:11.060,-1547.357142857143,-1859.4285714285713,143.35714285714286,10676.785714285714
2024-11-18 14:40:11.080,-1553.7142857142858,-1861.857142857143,283.7142857142857,10676.57142857143
2024-11-18 14:40:11.100,-1560.0714285714287,-1864.2857142857142,424.07142857142856,10676.357142857143
2024-11-18 14:40:11.120,-1566.4285714285713,-1866.7142857142858,564.4285714285714,10676.142857142857
2024-11-18 14:40:11.140,-1572.7857142857142,-1869.142857142857,704.7857142857143,10675.92857142857
2024-11-18 14:40:11.160,-1579.142857142857,-1871.5714285714287,845.1428571428571,10675.714285714286
2024-11-18 14:40:11.180,-1585.5,-1874.0,985.5,10675.5
2024-11-18 14:40:11.200,-1591.857142857143,-1876.4285714285713,1125.857142857143,10675.285714285714
2024-11-18 14:40:11.220,-1598.2142857142858,-1878.857142857143,1266.2142857142858,10675.07142857143
2024-11-18 14:40:11.240,-1604.5714285714287,-1881.2857142857142,1406.5714285714287,10674.857142857143
2024-11-18 14:40:11.260,-1610.9285714285713,-1883.7142857142858,1546.9285714285716,10674.642857142857
2024-11-18 14:40:11.280,-1617.2857142857142,-1886.142857142857,1687.2857142857142,10674.42857142857
2024-11-18 14:40:11.300,-1623.642857142857,-1888.5714285714287,1827.642857142857,10674.214285714286
