,,DeltaTD_ms_Pressure_%,DeltaTD_ms_Recovery_%,PAD_ms_Pressure_%,PAD_ms_Recovery_%,AUSPR_Pressure_%,AUSPR_Recovery_%,HSI_Pressure_%,HSI_Recovery_%,AmpRatio_norm_Pressure_%,AmpRatio_norm_Recovery_%
mean,mean_%,65.85549429386361,23.44188073577816,45.639565698741904,-98.93992381349781,12.220545844193843,-7.721861503422078,67.38822704789987,69.48159732021331,348.41661836151417,-12.164803233058041
std,std_%,105.3037389599251,74.40473054164656,344.6229726820479,314.2299774172117,23.81393510846283,22.95031143935327,99.37134861446192,67.8181395360443,867.695874815868,22.33443151007363
