Section,DeltaTD_ms_mean,DeltaTD_ms_std,PAD_ms_mean,PAD_ms_std,AUSPR_mean,AUSPR_std,HSI_mean,HSI_std,AmpRatio_norm_mean,AmpRatio_norm_std
Baseline,14.57888888888889,5.591201058900113,-3.919222222222222,13.153758172680515,1.067611111111111,0.12648745061625158,0.8305555555555556,0.3135118390150751,1.0396666666666665,0.07215017019261655
Pressure,22.79127777777778,13.54889653334329,-4.3495,18.564901800250418,1.1971666666666667,0.29246824865374393,1.2962777777777776,0.643914481493563,4.670277777777778,8.97944801005939
Recovery,16.9275,10.056384499703775,-7.632722222222223,16.177271986286833,0.9821666666666666,0.276238867223108,1.3452777777777778,0.5411040788822484,0.9061111111111111,0.2101371789734699
